index,id,group_id,phase_id,trial_phase,trial_expt,rev_ms,good?
504,5,1,2,60,72,253.759841574914,1
505,5,1,2,61,73,250.500611387135,1
506,5,1,2,62,74,256.811207742349,1
507,5,1,2,63,75,252.282066270358,1
508,5,1,2,64,76,247.383911797919,1
509,5,1,2,65,77,223.970413116832,1
510,5,1,2,66,78,232.525811200222,1
511,5,1,2,67,79,210.43643842889,1
512,5,1,2,68,80,219.43969610949,1
513,5,1,2,69,81,196.018724258212,1
514,5,1,2,70,82,260.769501712247,1
515,5,1,2,71,83,215.469932221003,1
516,5,1,2,72,84,241.286146363828,1
517,5,1,3,1,85,,0
518,5,1,3,2,86,236.723446686448,1
519,5,1,3,3,87,259.501613042016,1
520,5,1,3,4,88,235.289802243801,1
521,5,1,3,5,89,198.505193695179,1
522,5,1,3,6,90,224.403531937591,1
523,5,1,3,7,91,216.962435466274,1
524,5,1,3,8,92,230.126357405922,1
525,5,1,3,9,93,227.577535663374,1
526,5,1,3,10,94,224.697952684968,1
527,5,1,3,11,95,236.530667133287,1
528,5,1,3,12,96,220.080398613989,1
529,5,1,4,1,97,265.265893717696,1
530,5,1,4,2,98,283.153153681913,1
531,5,1,4,3,99,356.057723631042,1
532,5,1,4,4,100,241.692693087693,1
533,5,1,4,5,101,227.68477500308,1
534,5,1,4,6,102,281.191080987014,1
535,5,1,4,7,103,267.087725920436,1
536,5,1,4,8,104,285.882634227708,1
537,5,1,4,9,105,281.119570721334,1
538,5,1,4,10,106,255.722067024787,1
539,5,1,4,11,107,264.437689791613,1
540,5,1,4,12,108,,0
541,6,2,1,1,1,,0
542,6,2,1,2,2,,0
543,6,2,1,3,3,783.759831709602,1
544,6,2,1,4,4,789.218591138725,1
545,6,2,1,5,5,907.674868501075,1
546,6,2,1,6,6,828.420197218576,1
547,6,2,1,7,7,756.261202471218,1
548,6,2,1,8,8,916.506698235673,1
549,6,2,1,9,9,775.992514060459,1
550,6,2,1,10,10,757.715508193457,1
551,6,2,1,11,11,933.988834087611,1
552,6,2,1,12,12,1082.1745354465,1
553,6,2,2,1,13,918.380586324037,1
554,6,2,2,2,14,911.798734098479,1
555,6,2,2,3,15,679.86954325836,1
556,6,2,2,4,16,472.059964875284,1
557,6,2,2,5,17,448.615025697611,1
558,6,2,2,6,18,463.904725580232,1
559,6,2,2,7,19,354.15399654947,1
560,6,2,2,8,20,383.473394143006,1
561,6,2,2,9,21,348.750701757583,1
562,6,2,2,10,22,374.485278656695,1
563,6,2,2,11,23,288.280082344299,1
564,6,2,2,12,24,245.268512814634,1
565,6,2,2,13,25,470.159504909298,1
566,6,2,2,14,26,430.522166797322,1
567,6,2,2,15,27,477.759612950144,1
568,6,2,2,16,28,388.417801333133,1
569,6,2,2,17,29,379.448075221434,1
570,6,2,2,18,30,359.561554198428,1
571,6,2,2,19,31,325.125687546416,1
572,6,2,2,20,32,280.02197832189,1
573,6,2,2,21,33,341.228205506793,1
574,6,2,2,22,34,306.894699607686,1
575,6,2,2,23,35,259.216097437321,1
576,6,2,2,24,36,291.989620371642,1
577,6,2,2,25,37,377.73512380434,1
578,6,2,2,26,38,364.564897052623,1
