index,id,group_id,phase_id,trial_phase
433,5,1,0,1
434,5,1,0,2
435,5,1,0,3
436,5,1,0,4
437,5,1,0,5
438,5,1,0,6
439,5,1,0,7
440,5,1,0,8
441,5,1,0,9
442,5,1,0,10
443,5,1,0,11
444,5,1,0,12
445,5,1,2,1
446,5,1,2,2
447,5,1,2,3
448,5,1,2,4
449,5,1,2,5
450,5,1,2,6
451,5,1,2,7
452,5,1,2,8
453,5,1,2,9
454,5,1,2,10
455,5,1,2,11
456,5,1,2,12
457,5,1,2,13
458,5,1,2,14
459,5,1,2,15
460,5,1,2,16
461,5,1,2,17
462,5,1,2,18
463,5,1,2,19
464,5,1,2,20
465,5,1,2,21
466,5,1,2,22
467,5,1,2,23
468,5,1,2,24
469,5,1,2,25
470,5,1,2,26
471,5,1,2,27
472,5,1,2,28
473,5,1,2,29
474,5,1,2,30
475,5,1,2,31
476,5,1,2,32
477,5,1,2,33
478,5,1,2,34
479,5,1,2,35
480,5,1,2,36
481,5,1,2,37
482,5,1,2,38
483,5,1,2,39
484,5,1,2,40
485,5,1,2,41
486,5,1,2,42
487,5,1,2,43
488,5,1,2,44
489,5,1,2,45
490,5,1,2,46
491,5,1,2,47
492,5,1,2,48
493,5,1,2,49
494,5,1,2,50
495,5,1,2,51
496,5,1,2,52
497,5,1,2,53
498,5,1,2,54
499,5,1,2,55
500,5,1,2,56
501,5,1,2,57
502,5,1,2,58
503,5,1,2,59
504,5,1,2,60
505,5,1,2,61
506,5,1,2,62
507,5,1,2,63
508,5,1,2,64
509,5,1,2,65
510,5,1,2,66
511,5,1,2,67
512,5,1,2,68
513,5,1,2,69
514,5,1,2,70
515,5,1,2,71
516,5,1,2,72
517,5,1,3,1
518,5,1,3,2
519,5,1,3,3
520,5,1,3,4
521,5,1,3,5
522,5,1,3,6
523,5,1,3,7
524,5,1,3,8
525,5,1,3,9
526,5,1,3,10
527,5,1,3,11
528,5,1,3,12
529,5,1,4,1
530,5,1,4,2
531,5,1,4,3
532,5,1,4,4
533,5,1,4,5
534,5,1,4,6
535,5,1,4,7
536,5,1,4,8
537,5,1,4,9
538,5,1,4,10
539,5,1,4,11
540,5,1,4,12
541,6,2,1,1
542,6,2,1,2
543,6,2,1,3
544,6,2,1,4
545,6,2,1,5
546,6,2,1,6
547,6,2,1,7
548,6,2,1,8
549,6,2,1,9
550,6,2,1,10
551,6,2,1,11
552,6,2,1,12
553,6,2,2,1
554,6,2,2,2
555,6,2,2,3
556,6,2,2,4
557,6,2,2,5
558,6,2,2,6
559,6,2,2,7
560,6,2,2,8
561,6,2,2,9
562,6,2,2,10
563,6,2,2,11
564,6,2,2,12
565,6,2,2,13
566,6,2,2,14
567,6,2,2,15
568,6,2,2,16
569,6,2,2,17
570,6,2,2,18
571,6,2,2,19
572,6,2,2,20
573,6,2,2,21
574,6,2,2,22
575,6,2,2,23
576,6,2,2,24
577,6,2,2,25
578,6,2,2,26
579,6,2,2,27
580,6,2,2,28
581,6,2,2,29
582,6,2,2,30
583,6,2,2,31
584,6,2,2,32
585,6,2,2,33
586,6,2,2,34
587,6,2,2,35
588,6,2,2,36
589,6,2,2,37
590,6,2,2,38
591,6,2,2,39
592,6,2,2,40
593,6,2,2,41
594,6,2,2,42
595,6,2,2,43
596,6,2,2,44
597,6,2,2,45
598,6,2,2,46
599,6,2,2,47
600,6,2,2,48
601,6,2,2,49
602,6,2,2,50
603,6,2,2,51
604,6,2,2,52
605,6,2,2,53
606,6,2,2,54
607,6,2,2,55
608,6,2,2,56
609,6,2,2,57
610,6,2,2,58
611,6,2,2,59
612,6,2,2,60
613,6,2,2,61
614,6,2,2,62
615,6,2,2,63
616,6,2,2,64
617,6,2,2,65
618,6,2,2,66
619,6,2,2,67
620,6,2,2,68
621,6,2,2,69
622,6,2,2,70
623,6,2,2,71
624,6,2,2,72
625,6,2,3,1
626,6,2,3,2
627,6,2,3,3
628,6,2,3,4
629,6,2,3,5
630,6,2,3,6
631,6,2,3,7
632,6,2,3,8
633,6,2,3,9
634,6,2,3,10
635,6,2,3,11
636,6,2,3,12
637,6,2,4,1
638,6,2,4,2
639,6,2,4,3
640,6,2,4,4
641,6,2,4,5
642,6,2,4,6
643,6,2,4,7
644,6,2,4,8
645,6,2,4,9
646,6,2,4,10
647,6,2,4,11
648,6,2,4,12
